Tipo esercizio pa;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Prevalente;Superficie altri usi;Superficie lavorativa
Parrucchiere misto;"VIA DEI TRANSITI N. 27 ; (z.d. 2)";VIA;DEI TRANSITI;27;2284;2;;;33
Parrucchiere misto;"VIA DELLE FORZE ARMATE N. 333 ; (z.d. 7)";VIA;DELLE FORZE ARMATE;333;6643;7;;;19
Parrucchiere misto;"VIA DE ROSSI GIOVANNI BATTISTA N. 1 ; (z.d. 8)";VIA;DE ROSSI GIOVANNI BATTISTA;1;7401;8;;;35
Parrucchiere misto;"VIA DURAZZO N. 5 ; (z.d. 3)";VIA;DURAZZO;5;2658;3;;;
Parrucchiere misto;"VIA FARA GUSTAVO N. 31 ; (z.d. 9)";VIA;FARA GUSTAVO;31;1183;9;;;24
Parrucchiere misto;"VIA F.LLI BRONZETTI N. 26 ; (z.d. 4)";VIA;F.LLI BRONZETTI;26;3089;4;;;25
Parrucchiere misto;"VIA FORNI GEROLAMO N. 72 ; (z.d. 9)";VIA;FORNI GEROLAMO;72;1677;9;;;48
Parrucchiere misto;"VIA GNOCCHI DON CARLO num.033; (z.d. 7)";VIA;LORIA MOISE';76;6100;7;;;37
Parrucchiere misto;"VIA GROSSICH ANTONIO N. 17 ; (z.d. 3)";VIA;GROSSICH ANTONIO;17;2576;3;;3;36
Parrucchiere misto;"VIA ISERNIA N. 5 interno m.c.c. qt8; (z.d. 8)";VIA;ISERNIA;5;6461;8;;;
Parrucchiere misto;"VIA LOPEZ SABATINO N. 3 ; (z.d. 8)";VIA;LOPEZ SABATINO;3;7369;8;;;
Parrucchiere misto;"VIA LORENTEGGIO N. 124 ; (z.d. 6)";VIA;LORENTEGGIO;124;5132;6;;9;54
Parrucchiere misto;"VIA MAINONI D'INTIGNANO LUIGI N. 1 ; (z.d. 9)";VIA;MAINONI D'INTIGNANO LUIGI;1;1432;9;ACCONCIATORE;;38
Parrucchiere misto;"VIA MENABREA LUIGI FEDERICO N. 14 ; (z.d. 9)";VIA;MENABREA LUIGI FEDERICO;14;1322;9;;;21
Parrucchiere misto;"VIA MENOTTI CIRO N. 8 ; (z.d. 3)";VIA;MENOTTI CIRO;8;3184;3;;;42
Parrucchiere misto;"VIA MOSCA ANTONIO N. 187 ; (z.d. 7)";VIA;MOSCA ANTONIO;187;6788;7;;;
Parrucchiere misto;"VIA OLGETTINA N. 60 ; (z.d. 3)";VIA;OLGETTINA;60;2530;3;;;
Parrucchiere misto;"VIA OLTROCCHI BALDASSARE N. 7 ; (z.d. 4)";VIA;OLTROCCHI BALDASSARE;7;3217;4;;;33
Parrucchiere misto;"VIA PALERMO N. 18 ; (z.d. 1)";VIA;PALERMO;18;1025;1;;2;13
Parrucchiere misto;"VIA PASTEUR LUIGI N. 6 ; (z.d. 2)";VIA;PASTEUR LUIGI;6;2283;2;;;
Parrucchiere misto;"VIA PASTRENGO N. 1 ; (z.d. 9)";VIA;PASTRENGO;1;1127;9;;;
Parrucchiere misto;"VIA PEZZOTTI GIOVANNI N. 55 ; (z.d. 5)";VIA;PEZZOTTI GIOVANNI;55;5244;5;;;16
Parrucchiere misto;"VIA PIACENZA N. 17 ; (z.d. 5)";VIA;PIACENZA;17;4064;5;;;16
Parrucchiere misto;"VIA PIERLUIGI GIOVANNI DA PALESTRINA N. 1 ing. pubb. pza argentina; (z.d. 3)";VIA;PIERLUIGI GIOVANNI DA PALESTRINA;1;2235;3;;;
Parrucchiere misto;"VIA PIERLUIGI GIOVANNI DA PALESTRINA N. 40 ; (z.d. 2)";VIA;PIERLUIGI GIOVANNI DA PALESTRINA;40;2235;2;;;
Parrucchiere misto;"VIA PLINIO CAIO SECONDO N. 11 ; (z.d. 3)";VIA;PLINIO CAIO SECONDO;11;2144;3;;;50
Parrucchiere misto;"VIA PREVIATI GAETANO N. 21 ; (z.d. 7)";VIA;PREVIATI GAETANO;21;6384;7;;;
Parrucchiere misto;"VIA RAVENNA N. 14 ; (z.d. 4)";VIA;RAVENNA;14;4281;4;;;32
Parrucchiere misto;"VIA ROMEO NICOLA N. 3 ; (z.d. 5)";VIA;ROMEO NICOLA;3;5479;5;;;93
Parrucchiere misto;"VIA ROMILLI ARCIVESCOVO N. 14 ; (z.d. 5)";VIA;ROMILLI ARCIVESCOVO;14;4154;5;;;28
Parrucchiere misto;"VIA SANTI FERNANDO N. 8 ; (z.d. 6)";VIA;SANTI FERNANDO;8;5461;6;;;
Parrucchiere misto;"VIA SAVONA N. 13 ; (z.d. 6)";VIA;SAVONA;13;5122;6;;;30
Parrucchiere misto;"VIA SAVONA N. 14 ; (z.d. 6)";VIA;SAVONA;14;5122;6;;;
Parrucchiere misto;"VIA SPARTACO N. 21 ; (z.d. 4)";VIA;SPARTACO;21;3186;4;;;
Parrucchiere misto;"VIA URBANO III N. 3 ; (z.d. 1)";VIA;URBANO III;3;588;1;;;17
Parrucchiere misto;"VIA WASHINGTON GIORGIO N. 107 ; (z.d. 6)";VIA;WASHINGTON GIORGIO;107;6111;6;;;31
Parrucchiere misto;"VIA ZANELLA GIACOMO N. 27 ; (z.d. 4)";VIA;ZANELLA GIACOMO;27;3257;4;;;
Parrucchiere misto;"VLE ARETUSA N. 30 ; (z.d. 7)";VLE;ARETUSA;30;6565;7;;;
Parrucchiere misto;"VLE BLIGNY N. 44 ; (z.d. 5)";VLE;BLIGNY;44;4045;5;;;
Parrucchiere misto;"VLE BLIGNY N. 45 ; (z.d. 5)";VLE;BLIGNY;45;4045;5;;;
Parrucchiere misto;"VLE CONI ZUGNA N. 10 ; (z.d. 7)";VLE;CONI ZUGNA;10;5110;7;;9;46
Parrucchiere misto;"VLE CONI ZUGNA N. 39 ingr.via modestino; (z.d. 1)";VLE;CONI ZUGNA;39;5110;1;;;
Parrucchiere misto;"VLE DELLE RIMEMBRANZE DI GRECO N. 40 ; (z.d. 2)";VLE;DELLE RIMEMBRANZE DI GRECO;40;1412;2;;;
Parrucchiere misto;"VLE ESPINASSE CARLO N. 43 ; (z.d. 8)";VLE;ESPINASSE CARLO;43;7390;8;;;
Parrucchiere misto;"VLE ETIOPIA N. 4 ; (z.d. 6)";VLE;ETIOPIA;4;6131;6;;5;15
Parrucchiere misto;"VLE FAMAGOSTA N. 2 ; (z.d. 6)";VLE;FAMAGOSTA;2;5353;6;;;34
Parrucchiere misto;"VLE MONTE NERO N. 15 ; (z.d. 1)";VLE;MONTE NERO;15;3062;1;;17;38
Parrucchiere misto;"VLE PASUBIO N. 3 ; (z.d. 1)";VLE;PASUBIO;3;1112;1;;;
Parrucchiere misto;"VLE ROMAGNA N. 12 ; (z.d. 3)";VLE;ROMAGNA;12;3102;3;;;52
Parrucchiere misto;"VLE TEODORICO num.0192; (z.d. 8)";VIA;RUGGERO DI LAURIA;20;7163;8;;;54
Parrucchiere misto;"VLE TIBALDI N. 8 ; (z.d. 5)";VLE;TIBALDI;8;5234;5;;;17
Parrucchiere misto;"VLE UMBRIA N. 16 c/o c.c. piazza lodi; (z.d. 4)";VLE;UMBRIA;16;3145;4;;;
"Parrucchiere misto;TIPO A ESTETICA MANUALE";"VIA MARGHERA N. 18 ; (z.d. 7)";VIA;MARGHERA;18;6280;7;;16;94
"Parrucchiere misto;TIPO A - REG.2003";"VIA TIRABOSCHI GEROLAMO N. 3 ; (z.d. 4)";VIA;TIRABOSCHI GEROLAMO;3;4072;4;;;
"Parrucchiere misto;TIPO A - REG.2003";"VIA VAL MAIRA N. 14 ; (z.d. 9)";VIA;VAL MAIRA;14;1098;9;;;
"Parrucchiere misto;TIPO A - REG.2003";"VIA VALTELLINA N. 40 ; (z.d. 9)";VIA;VALTELLINA;40;1188;9;;;
"Parrucchiere misto;TIPO A - REG.2003";"VLE ESPINASSE CARLO N. 84 ; (z.d. 8)";VLE;ESPINASSE CARLO;84;7390;8;;;
"Parrucchiere misto;TIPO A - REG.2003";"VLE MONTE NERO N. 68 ; (z.d. 4)";VLE;MONTE NERO;68;3062;4;;1;40
"Parrucchiere misto;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CERVA N. 19 ; (z.d. 1)";VIA;CERVA;19;314;1;;;
"Parrucchiere misto;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA FRUGONI CARLO INNOCENZO N. 23 ; (z.d. 9)";VIA;FRUGONI CARLO INNOCENZO;23;1606;9;;;
"Parrucchiere misto;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA GIARDINO GAETANO N. 1 ; (z.d. 1)";VIA;GIARDINO GAETANO;1;343;1;;;55
"Parrucchiere misto;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA SANTA TECLA N. 5 ; (z.d. 1)";VIA;SANTA TECLA;5;321;1;;;
"Parrucchiere misto;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VLE FAMAGOSTA N. 40 ; (z.d. 6)";VLE;FAMAGOSTA;40;5353;6;;;
"Parrucchiere misto;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VLE PREMUDA N. 14 con ingr. via archimede; (z.d. 4)";VLE;PREMUDA;14;3063;4;;8;17
"Parrucchiere misto;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VLE TUNISIA N. 15 ; (z.d. 3)";VLE;TUNISIA;15;2121;3;;2;27
"Parrucchiere misto;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VLE UMBRIA N. 18 ; (z.d. 4)";VLE;UMBRIA;18;3145;4;;;
Parrucchiere per signora;"ALZ NAVIGLIO GRANDE N. 34 ; (z.d. 6)";ALZ;NAVIGLIO GRANDE;34;5144;6;;12;21
Parrucchiere per signora;"BST DI PORTA NUOVA N. 15 bastioni di porta nuova; (z.d. 1)";BST;DI PORTA NUOVA;15;1062;1;;;44
Parrucchiere per signora;"CSO BUENOS AIRES N. 18 1 locale al primo piano; (z.d. 3)";CSO;BUENOS AIRES;18;2129;3;;;29
Parrucchiere per signora;"CSO BUENOS AIRES N. 51 ; (z.d. 3)";CSO;BUENOS AIRES;51;2129;3;;;
Parrucchiere per signora;"CSO BUENOS AIRES N. 5 ; (z.d. 3)";CSO;BUENOS AIRES;5;2129;3;;;25
Parrucchiere per signora;"CSO BUENOS AIRES N. 61 ; (z.d. 3)";CSO;BUENOS AIRES;61;2129;3;;;45
Parrucchiere per signora;"CSO COMO N. 9 ; (z.d. 9)";CSO;COMO;9;1111;9;;;34
Parrucchiere per signora;"CSO CONCORDIA N. 10 ; (z.d. 4)";CSO;CONCORDIA;10;3116;4;;4;54
Parrucchiere per signora;"CSO DI PORTA ROMANA N. 128 ; (z.d. 1)";CSO;DI PORTA ROMANA;128;402;1;;;21
Parrucchiere per signora;"CSO DI PORTA ROMANA N. 51 ; (z.d. 1)";CSO;DI PORTA ROMANA;51;402;1;;2;39
Parrucchiere per signora;"CSO DI PORTA ROMANA N. 54 ; (z.d. 1)";CSO;DI PORTA ROMANA;54;402;1;;4;30
Parrucchiere per signora;"CSO DI PORTA TICINESE N. 50 ; (z.d. 1)";CSO;DI PORTA TICINESE;50;541;1;;5;30
Parrucchiere per signora;"CSO GARIBALDI GIUSEPPE N. 46 ; (z.d. 1)";CSO;GARIBALDI GIUSEPPE;46;1010;1;;;
Parrucchiere per signora;"CSO GENOVA N. 4 ; (z.d. 1)";CSO;GENOVA;4;5164;1;;14;36
Parrucchiere per signora;"CSO INDIPENDENZA N. 12 ; (z.d. 4)";CSO;INDIPENDENZA;12;3118;4;;17;19
Parrucchiere per signora;"CSO INDIPENDENZA N. 6 ; (z.d. 4)";CSO;INDIPENDENZA;6;3118;4;;;
Parrucchiere per signora;"CSO ITALIA N. 35 ; (z.d. 1)";CSO;ITALIA;35;526;1;;;29
Parrucchiere per signora;"CSO LODI N. 116 ; (z.d. 4)";CSO;LODI;116;4068;4;;10;15
Parrucchiere per signora;"CSO LODI N. 15 ; (z.d. 4)";CSO;LODI;15;4068;4;;;
Parrucchiere per signora;"CSO LODI N. 2 ; (z.d. 5)";CSO;LODI;2;4068;5;;15;45
Parrucchiere per signora;"CSO LODI N. 56 ; (z.d. 4)";CSO;LODI;56;4068;4;;;21
Parrucchiere per signora;"CSO LODI N. 62 ; (z.d. 4)";CSO;LODI;62;4068;4;;;
Parrucchiere per signora;"CSO LODI N. 74 ; (z.d. 4)";CSO;LODI;74;4068;4;;;
Parrucchiere per signora;"CSO MAGENTA N. 66 ; (z.d. 1)";CSO;MAGENTA;66;604;1;;;68
Parrucchiere per signora;"CSO MAGENTA N. 76 ; (z.d. 1)";CSO;MAGENTA;76;604;1;;;
Parrucchiere per signora;"CSO SEMPIONE N. 102 ; (z.d. 8)";CSO;SEMPIONE;102;7137;8;;;20
Parrucchiere per signora;"CSO VENEZIA N. 33 ; (z.d. 1)";CSO;VENEZIA;33;238;1;;;62
Parrucchiere per signora;"CSO VENEZIA N. 35 ; (z.d. 1)";CSO;VENEZIA;35;238;1;;;
Parrucchiere per signora;"CSO VENEZIA N. 3 ; (z.d. 1)";CSO;VENEZIA;3;238;1;;;110
Parrucchiere per signora;"CSO VENTIDUE MARZO N. 12 ; (z.d. 4)";CSO;VENTIDUE MARZO;12;3074;4;;;25
Parrucchiere per signora;"CSO VENTIDUE MARZO N. 41 ; (z.d. 4)";CSO;VENTIDUE MARZO;41;3074;4;;8;40
Parrucchiere per signora;"CSO VENTIDUE MARZO N. 8 ; (z.d. 4)";CSO;VENTIDUE MARZO;8;3074;4;;;48
Parrucchiere per signora;"CSO VERCELLI N. 35 ; (z.d. 7)";CSO;VERCELLI;35;6193;7;;;78
Parrucchiere per signora;"FOR BUONAPARTE N. 74 ; (z.d. 1)";FOR;BUONAPARTE;74;711;1;;22;48
Parrucchiere per signora;"GLL BUENOS AIRES N. 6 ; (z.d. 3)";GLL;BUENOS AIRES;6;2146;3;;;34
Parrucchiere per signora;"GLL PASSARELLA N. 1 ; (z.d. 1)";GLL;PASSARELLA;1;303;1;;;78
Parrucchiere per signora;"GLL PASSARELLA N. 2 ; (z.d. 1)";GLL;PASSARELLA;2;303;1;;;70
Parrucchiere per signora;"LGO BRASILIA N. 6 ; (z.d. 6)";LGO;BRASILIA;6;6145;6;;4;18
Parrucchiere per signora;"LGO DEI GELSOMINI N. 14 ; (z.d. 6)";LGO;DEI GELSOMINI;14;5394;6;ACCONCIATORE;;28
Parrucchiere per signora;"LGO DOMODOSSOLA N. 7 ; (z.d. 8)";LGO;DOMODOSSOLA;7;6140;8;;;77
Parrucchiere per signora;"LGO F.LLI CERVI N. 1 ; (z.d. 2)";LGO;F.LLI CERVI;1;2218;2;;;27
Parrucchiere per signora;"LGO PROMESSI SPOSI N. 7 ; (z.d. 5)";LGO;PROMESSI SPOSI;7;5415;5;;25;25
Parrucchiere per signora;"LGO SCALABRINI GIOVANNI BATTISTA N. 6 ; (z.d. 6)";LGO;SCALABRINI GIOVANNI BATTISTA;6;5392;6;;3;37
Parrucchiere per signora;"PLE ARDUINO N. 9 ; (z.d. 8)";PLE;ARDUINO;9;6365;8;;;
Parrucchiere per signora;"PLE BACONE FRANCESCO N. 6 ; (z.d. 3)";PLE;BACONE FRANCESCO;6;2100;3;;;30
Parrucchiere per signora;"PLE BARACCA FRANCESCO N. 8 ; (z.d. 7)";PLE;BARACCA FRANCESCO;8;6180;7;;;71
Parrucchiere per signora;"PLE BIANCAMANO N. 2 ; (z.d. 1)";PLE;BIANCAMANO;2;7083;1;;6;32
Parrucchiere per signora;"PLE CANTORE ANTONIO N. 4 ; (z.d. 6)";PLE;CANTORE ANTONIO;4;5103;1;;6;32
Parrucchiere per signora;"PLE CHIESA DAMIANO N. 11 ; (z.d. 8)";PLE;CHIESA DAMIANO;11;7164;8;;;20
Parrucchiere per signora;"PLE FERRARA N. 4 ; (z.d. 4)";PLE;FERRARA;4;4158;4;;;90
Parrucchiere per signora;"PLE ISTRIA N. 1 ; (z.d. 9)";PLE;ISTRIA;1;1347;9;;;29
Parrucchiere per signora;"PLE ISTRIA N. 2 ; (z.d. 2)";PLE;ISTRIA;2;1347;2;;4;52
Parrucchiere per signora;"PLE LAGOSTA N. 10 ; (z.d. 9)";PLE;LAGOSTA;10;1155;9;;;49
Parrucchiere per signora;"PLE LAVATER N. 2 ; (z.d. 3)";PLE;LAVATER;2;2155;3;;;
Parrucchiere per signora;"PLE LORETO N. 1 ; (z.d. 2)";PLE;LORETO;1;2264;2;;12;37
Parrucchiere per signora;"PLE LORETO N. 1 ; (z.d. 2)";PLE;LORETO;1;2264;2;;;36
Parrucchiere per signora;"PLE MACIACHINI CARLO N. 20 ; (z.d. 9)";PLE;MACIACHINI CARLO;20;1361;9;;;34
Parrucchiere per signora;"PLE MARTINI FERDINANDO N. 11 ; (z.d. 4)";PLE;MARTINI FERDINANDO;11;3219;4;;;16
Parrucchiere per signora;"PLE MARTINI FERDINANDO N. 1 ; (z.d. 4)";PLE;MARTINI FERDINANDO;1;3219;4;;;
Parrucchiere per signora;"PLE MARTINI FERDINANDO N. 2 ; (z.d. 4)";PLE;MARTINI FERDINANDO;2;3219;4;;;
Parrucchiere per signora;"PLE SIENA N. 18 ; (z.d. 7)";PLE;SIENA;18;6616;7;;34;34
Parrucchiere per signora;"PLE SIENA N. 9 ; (z.d. 7)";PLE;SIENA;9;6616;7;;2;40
Parrucchiere per signora;"PLE STAZIONE DI PORTA GENOVA N. 2 ; (z.d. 6)";PLE;STAZIONE DI PORTA GENOVA;2;5120;6;;;40
Parrucchiere per signora;"PLE SUSA N. 1 ; (z.d. 3)";PLE;SUSA;1;3101;3;;;30
Parrucchiere per signora;"PLE SUSA N. 6 ; (z.d. 4)";PLE;SUSA;6;3101;4;;;
Parrucchiere per signora;"PTA PATTARI piano primo num.0013; (z.d. 1)";PTA;PATTARI;;299;1;;;32
Parrucchiere per signora;"PZA ASPROMONTE N. 31 ; (z.d. 3)";PZA;ASPROMONTE;31;2246;3;;;26
Parrucchiere per signora;"PZA BELFANTI SERAFINO N. 2 ; (z.d. 6)";PZA;BELFANTI SERAFINO;2;5270;6;;16;29
Parrucchiere per signora;"PZA BETTINI LIONELLO N. 5 ; (z.d. 7)";PZA;BETTINI LIONELLO;5;6653;7;;;32
Parrucchiere per signora;"PZA BONOMELLI GEREMIA N. 4 ; (z.d. 5)";PZA;BONOMELLI GEREMIA;4;4150;4;;;33
Parrucchiere per signora;"PZA BUOZZI BRUNO N. 5 ; (z.d. 4)";PZA;BUOZZI BRUNO;5;4221;4;;12;21
Parrucchiere per signora;"PZA CASTELLI POMPEO N. 14 ; (z.d. 8)";PZA;CASTELLI POMPEO;14;7277;8;;6;27
Parrucchiere per signora;"PZA CHIARADIA ENRICO N. 12 con ingresso via antonini 66; (z.d. 5)";PZA;CHIARADIA ENRICO;12;4252;5;;;
Parrucchiere per signora;"PZA CHIARADIA ENRICO N. 9 ; (z.d. 5)";PZA;CHIARADIA ENRICO;9;4252;5;;3;16
Parrucchiere per signora;"PZA CINQUE GIORNATE N. 3 ; (z.d. 1)";PZA;CINQUE GIORNATE;3;3053;1;;;30
Parrucchiere per signora;"PZA DELLA REPUBBLICA N. 17 interno hotel principe savoia; (z.d. 2)";PZA;DELLA REPUBBLICA;17;1055;2;;;
Parrucchiere per signora;"PZA FERRAVILLA EDOARDO N. 3 ; (z.d. 3)";PZA;FERRAVILLA EDOARDO;3;3125;3;;2;30
Parrucchiere per signora;"PZA FORTUNATO GIUSTINO N. 9 ; (z.d. 9)";PZA;FORTUNATO GIUSTINO;9;1576;9;;2;32
Parrucchiere per signora;"PZA GERUSALEMME N. 2 ; (z.d. 8)";PZA;GERUSALEMME;2;7201;8;;14;34
Parrucchiere per signora;"PZA GRAMSCI ANTONIO N. 3 ; (z.d. 8)";PZA;GRAMSCI ANTONIO;3;7205;8;;;
Parrucchiere per signora;"PZA GRAMSCI ANTONIO N. 4 ; (z.d. 8)";PZA;GRAMSCI ANTONIO;4;7205;8;;;46
Parrucchiere per signora;"PZA GRANDI GIUSEPPE N. 1 ; (z.d. 4)";PZA;GRANDI GIUSEPPE;1;3112;4;;;
Parrucchiere per signora;"PZA GRANDI GIUSEPPE N. 5 ; (z.d. 4)";PZA;GRANDI GIUSEPPE;5;3112;4;;;25
Parrucchiere per signora;"PZA GRECO N. 10 ; (z.d. 2)";PZA;GRECO;10;1417;2;;;37
Parrucchiere per signora;"PZA GUARDI FRANCESCO N. 15 ; (z.d. 3)";PZA;GUARDI FRANCESCO;15;3312;3;;;28
Parrucchiere per signora;"PZA IMPERATORE TITO N. 6 ; (z.d. 4)";PZA;IMPERATORE TITO;6;3216;4;;;30
Parrucchiere per signora;"PZA LIMA N. 3 ; (z.d. 3)";PZA;LIMA;3;2135;3;;4;29
Parrucchiere per signora;"PZA MONTI GIOSIA N. 1 ; (z.d. 7)";PZA;MONTI GIOSIA;1;6332;7;;4;42
Parrucchiere per signora;"PZA NAPOLI N. 7 ; (z.d. 6)";PZA;NAPOLI;7;5131;6;;;88
Parrucchiere per signora;"PZA PREALPI N. 4 ; (z.d. 8)";PZA;PREALPI;4;7300;8;;;62
Parrucchiere per signora;"PZA RISORGIMENTO N. 4 ; (z.d. 4)";PZA;RISORGIMENTO;4;3117;4;;5;32
Parrucchiere per signora;"PZA SAN FEDELE N. 2 con ingresso in via agnello; (z.d. 1)";PZA;SAN FEDELE;2;203;1;;;
Parrucchiere per signora;"PZA SAN GIUSEPPE N. 8 ; (z.d. 9)";PZA;SAN GIUSEPPE;8;1442;9;;;
Parrucchiere per signora;"PZA SAN NAZARO IN BROLO N. 3 ; (z.d. 1)";PZA;SAN NAZARO IN BROLO;3;353;1;;;
Parrucchiere per signora;"PZA SANTA FRANCESCA ROMANA N. 1 ; (z.d. 3)";PZA;SANTA FRANCESCA ROMANA;1;2183;3;;;
Parrucchiere per signora;"PZA SANT' AGOSTINO N. 24 ; (z.d. 1)";PZA;SANT' AGOSTINO;24;5091;1;;;
Parrucchiere per signora;"PZA SANT' AGOSTINO N. 2 ; (z.d. 1)";PZA;SANT' AGOSTINO;2;5091;1;;;41
Parrucchiere per signora;"PZA SCHIAVONE ANDREA N. 10 ; (z.d. 9)";PZA;SCHIAVONE ANDREA;10;1250;9;;;34
Parrucchiere per signora;"PZA SCHIAVONE ANDREA N. 19 ; (z.d. 9)";PZA;SCHIAVONE ANDREA;19;1250;9;;;34
Parrucchiere per signora;"PZA SCOLARI ROSA N. 4 ; (z.d. 8)";PZA;SCOLARI ROSA;4;6579;8;;;30
Parrucchiere per signora;"PZA TIRANA N. 12 ; (z.d. 6)";PZA;TIRANA;12;5378;6;;;34
Parrucchiere per signora;"PZA VELASCA N. 10 ; (z.d. 1)";PZA;VELASCA;10;335;1;;;63
Parrucchiere per signora;"RIP DI PTA TICINESE N. 107 ; (z.d. 6)";RIP;DI PTA TICINESE;107;5150;6;;;33
Parrucchiere per signora;"RIP DI PTA TICINESE N. 9 ; (z.d. 6)";RIP;DI PTA TICINESE;9;5150;6;;;
Parrucchiere per signora;"VIA ABBAZIA N. 6 ; (z.d. 2)";VIA;ABBAZIA;6;1310;2;;5;26
Parrucchiere per signora;"VIA ADIGE N. 10 ; (z.d. 5)";VIA;ADIGE;10;4216;5;;;26
Parrucchiere per signora;"VIA ADIGE N. 4 ; (z.d. 5)";VIA;ADIGE;4;4216;5;;;
Parrucchiere per signora;"VIA ADRIANO PUBLIO ELIO N. 94 ; (z.d. 2)";VIA;ADRIANO PUBLIO ELIO;94;2410;2;;;
Parrucchiere per signora;"VIA AJACCIO N. 4 ; (z.d. 3)";VIA;AJACCIO;4;3246;3;;3;35
Parrucchiere per signora;"VIA ALBANI FRANCESCO N. 58 ; (z.d. 8)";VIA;ALBANI FRANCESCO;58;6399;8;;9;58
Parrucchiere per signora;"VIA ALBERTINELLI MARIOTTO N. 4 ; (z.d. 7)";VIA;ALBERTINELLI MARIOTTO;4;6561;7;;;28
Parrucchiere per signora;"VIA ALBRICCI ALBERICO N. 8 ; (z.d. 1)";VIA;ALBRICCI ALBERICO;8;337;1;;;45
Parrucchiere per signora;"VIA ALCIATI AMBROGIO N. 15 ; (z.d. 6)";VIA;ALCIATI AMBROGIO;15;6814;6;;3;28
Parrucchiere per signora;"VIA ALCUINO N. 18 ; (z.d. 8)";VIA;ALCUINO;18;7165;8;;;45
Parrucchiere per signora;VIA ALEARDI ALEARDO N. 4 (z.d. 8);VIA;ALEARDI ALEARDO;4;7209;8;;1;40
Parrucchiere per signora;"VIA ALSERIO N. 1 ; (z.d. 9)";VIA;ALSERIO;1;1153;9;;;
Parrucchiere per signora;"VIA ALSERIO N. 3 ; (z.d. 9)";VIA;ALSERIO;3;1153;9;;;19
Parrucchiere per signora;"VIA AMADEO GIAN ANTONIO N. 28 ; (z.d. 3)";VIA;AMADEO GIAN ANTONIO;28;3228;3;;2;17
Parrucchiere per signora;"VIA AMADEO GIAN ANTONIO N. 54 ; (z.d. 3)";VIA;AMADEO GIAN ANTONIO;54;3228;3;;15;21
Parrucchiere per signora;VIA AMORETTI CARLO N. 8A (z.d. 8);VIA;AMORETTI CARLO;8A;7340;8;;13;25
Parrucchiere per signora;"VIA AMPERE ANDREA MARIA N. 103 ; (z.d. 3)";VIA;AMPERE ANDREA MARIA;103;2428;3;;;30
Parrucchiere per signora;"VIA AMPERE ANDREA MARIA N. 65 ; (z.d. 3)";VIA;AMPERE ANDREA MARIA;65;2428;3;;3;16
Parrucchiere per signora;"VIA ANFOSSI AUGUSTO N. 28 ; (z.d. 4)";VIA;ANFOSSI AUGUSTO;28;3071;4;;;
Parrucchiere per signora;"VIA ANFOSSI AUGUSTO N. 44 ; (z.d. 4)";VIA;ANFOSSI AUGUSTO;44;3071;4;;;50
Parrucchiere per signora;"VIA ANGELO DELLA PERGOLA N. 7 ingresso da p.le archinto; (z.d. 9)";VIA;ANGELO DELLA PERGOLA;7;1137;9;;;28
Parrucchiere per signora;"VIA ANGELONI LUIGI N. 23 ; (z.d. 9)";VIA;ANGELONI LUIGI;23;1659;9;;2;55
Parrucchiere per signora;"VIA ANGELONI LUIGI N. 33 ; (z.d. 9)";VIA;ANGELONI LUIGI;33;1659;9;;;53
Parrucchiere per signora;"VIA ANGELONI LUIGI N. 40 ; (z.d. 9)";VIA;ANGELONI LUIGI;40;1659;9;;;21
Parrucchiere per signora;"VIA ANSELMO DA BAGGIO N. 10 ; (z.d. 7)";VIA;ANSELMO DA BAGGIO;10;6782;7;;;23
Parrucchiere per signora;"VIA ANSELMO DA BAGGIO N. 63 ; (z.d. 7)";VIA;ANSELMO DA BAGGIO;63;6782;7;;;33
Parrucchiere per signora;"VIA ANZANI FRANCESCO N. 2 ; (z.d. 4)";VIA;ANZANI FRANCESCO;2;3076;4;;8;29
Parrucchiere per signora;"VIA APELLE N. 20 ; (z.d. 2)";VIA;APELLE;20;2454;2;;;
Parrucchiere per signora;"VIA APPENNINI N. 65 al piano secondo; (z.d. 8)";VIA;APPENNINI;65;7514;8;;;17
Parrucchiere per signora;"VIA APPENNINI num.007a; (z.d. 8)";VIA;APPENNINI;;7514;8;;;32
Parrucchiere per signora;"VIA ARBE N. 85 ; (z.d. 2)";VIA;ARBE;85;1352;2;;;16
Parrucchiere per signora;"VIA ARCHIMEDE N. 41 ; (z.d. 4)";VIA;ARCHIMEDE;41;3086;4;;;21
Parrucchiere per signora;"VIA ARCHIMEDE N. 59 ; (z.d. 4)";VIA;ARCHIMEDE;59;3086;4;;;
Parrucchiere per signora;"VIA ARCHIMEDE N. 83 ; (z.d. 4)";VIA;ARCHIMEDE;83;3086;4;;;
Parrucchiere per signora;"VIA ARENA N. 35 con ingr. via g.d'annunzio 23; (z.d. 1)";VIA;ARENA;35;5182;1;;;
