t_es,t_via,via,civ,cod_via,zd,sup_alt,sup_lav
Acconciatore,Via,ELIO VITTORINI,14,3379,4,6.0,37.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,ELIO VITTORINI,22,3379,4,26.5,48.5
Parrucchiere per Uomo,Via,PAOLO DA CANNOBIO,16,338,1,5.0,16.0
Tipo A - Estetica Manuale,Via,PAOLO DA CANNOBIO,16,338,1,8.0,30.0
Parrucchiere per Donna;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,PAOLO DA CANNOBIO,37,338,1,15.0,35.0
Parrucchiere per Donna,Via,PAOLO DA CANNOBIO,8,338,1,4.0,50.0
Parrucchiere per Uomo;Tipo A - Estetica Manuale;Tipo C - Trattamenti Estetici Dimagrimento;Tipo B - Centro di Abbronzatura,Via,PAOLO DA CANNOBIO,9,338,1,24.0,22.0
Acconciatore,Via,BRUNO MADERNA,2,3382,4,6.0,37.0
Centro Massaggi,Via,BRUNO MADERNA,2,3382,4,12.0,80.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,BRUNO MADERNA,2,3382,4,26.5,55.0
Acconciatore,Via,DOGANA,3,341,1,6.0,50.0
Centro Benessere,Via,DOGANA,3,341,1,5.0,45.0
Parrucchiere per Uomo;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,GAETANO GIARDINO,1,343,1,2.0,55.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,MAURIZIO GONZAGA,2,344,1,26.5,48.5
Acconciatore,Via,MAURIZIO GONZAGA,4,344,1,6.0,38.0
Parrucchiere per Uomo;Tipo A - Estetica Manuale,Via,MAURIZIO GONZAGA,6,344,1,13.0,32.0
Acconciatore,Corso,MONFORTE,16,348,1,6.0,25.0
Parrucchiere per Donna;Tipo A - Estetica Manuale,Corso,MONFORTE,21,348,1,11.0,50.0
Parrucchiere per Donna;Tipo A - Estetica Manuale,Corso,MONFORTE,30,348,1,11.0,34.0
Parrucchiere per Donna,Piazza,SAN NAZARO IN BROLO,3,353,1,4.0,31.0
Esecuzione di Tatuaggi e Piercing,Via,FLAVIO BARACCHINI,9,356,1,25.0,39.0
Tipo A - Estetica Manuale,Via,FLAVIO BARACCHINI,9,356,1,8.0,26.0
Tipo A - Estetica Manuale,Via,UMBERTO VISCONTI DI MODRONE,38,361,1,8.0,32.0
Parrucchiere per Donna,Via,UMBERTO VISCONTI DI MODRONE,4,361,1,4.0,31.0
Tipo A - Estetica Manuale;Tipo C - Trattamenti Estetici Dimagrimento,Via,MADDALENA,1,401,1,2.0,35.5
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,GIUSEPPE MERCALLI,7,4011,1,33.0,44.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,SAN MARTINO,14,4016,1,26.5,48.5
Parrucchiere per Donna,Via,SAN MARTINO,15,4016,1,4.0,31.0
Parrucchiere per Uomo,Corso,DI PORTA ROMANA,109,402,1,1.0,24.0
Acconciatore,Corso,DI PORTA ROMANA,117,402,1,6.0,37.0
Parrucchiere per Donna;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Corso,DI PORTA ROMANA,123,402,1,18.0,40.0
Parrucchiere per Donna,Corso,DI PORTA ROMANA,128,402,1,4.0,21.0
Tipo A - Estetica Manuale,Corso,DI PORTA ROMANA,129,402,1,8.0,62.0
Tipo A - Estetica Manuale,Corso,DI PORTA ROMANA,20,402,1,8.0,45.0
Acconciatore,Corso,DI PORTA ROMANA,40,402,1,6.0,37.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Corso,DI PORTA ROMANA,40,402,1,26.5,77.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Corso,DI PORTA ROMANA,46,402,1,26.5,45.0
Parrucchiere per Donna,Corso,DI PORTA ROMANA,51,402,1,2.0,39.0
Parrucchiere per Donna,Corso,DI PORTA ROMANA,54,402,1,4.0,30.0
Acconciatore,Corso,DI PORTA ROMANA,79,402,1,6.0,37.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Corso,DI PORTA ROMANA,85,402,1,26.5,48.5
Acconciatore,Corso,DI PORTA ROMANA,96,402,1,6.0,68.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Corso,DI PORTA ROMANA,97,402,1,26.5,48.5
Parrucchiere per Donna,Via,QUADRONNO,34,4021,1,4.0,25.0
Parrucchiere per Donna,Via,ALFREDO ORIANI,2,4025,1,4.0,31.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,ALFREDO ORIANI,2,4025,1,26.5,48.5
Tipo A - Estetica Manuale;Tipo D - Estetica Apparati Elettromeccanici;Tipo C - Trattamenti Estetici Dimagrimento,Corso,DI PORTA VIGENTINA,18,4026,1,13.0,40.0
Tipo A - Estetica Manuale,Corso,DI PORTA VIGENTINA,26,4026,1,8.0,96.0
Tipo A - Estetica Manuale,Corso,DI PORTA VIGENTINA,31,4026,1,8.0,45.0
Acconciatore,Corso,DI PORTA VIGENTINA,40,4026,1,6.0,50.0
Tipo A - Estetica Manuale,Via,ORTI,5,4031,1,8.0,45.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,REGGIO,5,4033,1,26.5,48.5
Parrucchiere per Uomo,Via,CURTATONE,6,4034,1,5.0,15.0
Acconciatore,Viale,EMILIO CALDARA,30,4036,1,6.0,37.0
Parrucchiere per Donna,Viale,EMILIO CALDARA,33,4036,1,4.0,31.0
Parrucchiere per Uomo;Tipo A - Estetica Manuale,Piazzale,DI PORTA LODOVICA,2,4039,5,10.0,25.0
Parrucchiere per Donna,Via,PIETRO TEULIE',5,4040,5,4.0,31.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,PIETRO TEULIE',5,4040,5,26.5,48.5
Acconciatore;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Viale,BLIGNY,2,4045,5,20.0,70.0
Tipo A - Estetica Manuale,Viale,BLIGNY,25,4045,5,8.0,45.0
Parrucchiere per Donna,Viale,BLIGNY,26,4045,5,4.0,34.0
Acconciatore,Viale,BLIGNY,41,4045,5,6.0,37.0
Parrucchiere per Uomo,Viale,BLIGNY,44,4045,5,5.0,20.5
Parrucchiere per Uomo,Viale,BLIGNY,45,4045,5,5.0,20.5
Parrucchiere per Uomo,Viale,BLIGNY,50,4045,5,5.0,35.0
Parrucchiere per Donna,Viale,BLIGNY,58,4045,5,4.0,31.0
Tipo A - Estetica Manuale,Viale,BLIGNY,58,4045,5,8.0,34.0
Tipo A - Estetica Manuale,Viale,SABOTINO,12,4046,5,8.0,45.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Viale,SABOTINO,13,4046,5,26.5,102.0
Acconciatore,Viale,SABOTINO,14,4046,5,6.0,37.0
Parrucchiere per Uomo,Viale,SABOTINO,16,4046,5,5.0,20.5
Tipo A - Estetica Manuale,Viale,SABOTINO,5,4046,5,8.0,54.0
Tipo A - Estetica Manuale,Viale,SABOTINO,8,4046,5,8.0,46.0
Acconciatore,Viale,SABOTINO,8,4046,5,6.0,46.0
Parrucchiere per Donna,Viale,SABOTINO,9,4046,5,4.0,39.0
Parrucchiere per Uomo,Viale,BEATRICE D'ESTE,49,4048,1,19.0,30.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Viale,BEATRICE D'ESTE,7,4048,1,26.5,40.0
Acconciatore,Via,SANT'EUFEMIA,17,405,1,6.0,31.0
Parrucchiere per Uomo,Via,SALASCO,32,4051,5,2.0,18.0
Parrucchiere per Donna,Via,VIGNOLA,2,4054,5,2.0,20.0
Acconciatore,Via,CARLO VITTADINI,5,4055,5,6.0,37.0
Parrucchiere per Uomo,Via,CARLO VITTADINI,7,4055,5,4.0,18.0
Parrucchiere per Uomo,Via,ATTO VANNUCCI,2,4056,5,5.0,17.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,ATTO VANNUCCI,8,4056,5,15.0,18.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,GIULIO ROMANO,17,4057,5,26.5,56.0
Acconciatore,Via,GIULIO ROMANO,25,4057,5,6.0,29.0
Acconciatore,Via,GIULIO ROMANO,9,4057,5,6.0,28.0
Acconciatore,Via,CREMA,21,4061,5,6.0,37.0
Parrucchiere per Uomo,Via,CREMA,23,4061,5,5.0,24.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,CREMA,25,4061,5,26.5,48.5
Parrucchiere per Donna,Via,CREMA,29,4061,5,4.0,31.0
Esecuzione di Tatuaggi e Piercing,Via,CREMA,4,4061,5,25.0,30.0
Tipo A - Estetica Manuale,Via,CREMA,4,4061,5,8.0,30.0
Parrucchiere per Donna,Via,CREMA,6,4061,5,4.0,32.0
Acconciatore,Via,VITTORIO SALMINI,4,4062,5,6.0,17.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,PIACENZA,1,4064,5,6.0,30.5
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,PIACENZA,1,4064,5,26.5,48.5
Tipo A - Estetica Manuale,Via,PIACENZA,15,4064,5,8.0,43.0
Parrucchiere per Uomo,Via,PIACENZA,17,4064,5,5.0,16.0
Parrucchiere per Donna,Via,GIAN CARLO PASSERONI,2,4065,5,4.0,31.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,GIUSEPPE RIPAMONTI,1,4066,5,26.5,48.5
Parrucchiere per Donna,Via,GIUSEPPE RIPAMONTI,113,4066,5,4.0,31.0
Acconciatore,Via,GIUSEPPE RIPAMONTI,128,4066,5,6.0,36.0
Parrucchiere per Donna,Via,GIUSEPPE RIPAMONTI,184,4066,5,4.0,26.0
Parrucchiere per Uomo,Via,GIUSEPPE RIPAMONTI,19,4066,5,2.0,20.0
Parrucchiere per Donna,Via,GIUSEPPE RIPAMONTI,190,4066,5,4.0,31.0
Parrucchiere per Uomo,Via,GIUSEPPE RIPAMONTI,191,4066,5,5.0,24.0
Parrucchiere per Donna,Via,GIUSEPPE RIPAMONTI,193,4066,5,5.0,21.0
Centro Massaggi,Via,GIUSEPPE RIPAMONTI,195,4066,5,14.0,42.0
Acconciatore,Via,GIUSEPPE RIPAMONTI,207,4066,5,6.0,45.0
Parrucchiere per Uomo,Via,GIUSEPPE RIPAMONTI,212,4066,5,14.0,15.0
Centro Massaggi,Via,GIUSEPPE RIPAMONTI,213,4066,5,14.0,35.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,GIUSEPPE RIPAMONTI,214,4066,5,26.5,50.0
Parrucchiere per Donna,Via,GIUSEPPE RIPAMONTI,218,4066,5,4.0,23.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,GIUSEPPE RIPAMONTI,219,4066,5,6.0,44.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,GIUSEPPE RIPAMONTI,22,4066,5,26.5,48.5
Acconciatore,Via,GIUSEPPE RIPAMONTI,227,4066,5,6.0,50.0
Parrucchiere per Donna,Via,GIUSEPPE RIPAMONTI,236,4066,5,4.0,30.0
Acconciatore,Via,GIUSEPPE RIPAMONTI,244,4066,5,8.0,35.0
Centro Benessere,Via,GIUSEPPE RIPAMONTI,246,4066,5,5.0,55.0
Acconciatore,Via,GIUSEPPE RIPAMONTI,5,4066,5,6.0,37.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,GIUSEPPE RIPAMONTI,7,4066,5,26.5,48.5
Parrucchiere per Donna,Via,GIUSEPPE RIPAMONTI,9,4066,5,1.0,42.0
Acconciatore,Via,GIOVANNI BELLEZZA,1,4067,5,6.0,39.0
Parrucchiere per Donna,Via,GIOVANNI BELLEZZA,12,4067,5,4.0,71.0
Parrucchiere per Uomo,Corso,LODI,1,4068,4,5.0,97.0
Tipo A - Estetica Manuale,Corso,LODI,101,4068,4,8.0,55.0
Acconciatore,Corso,LODI,103,4068,4,6.0,55.0
Acconciatore,Corso,LODI,112,4068,4,6.0,37.0
Centro Massaggi,Corso,LODI,113,4068,4,1.0,38.0
Parrucchiere per Uomo,Corso,LODI,113,4068,4,6.0,14.0
Tipo A - Estetica Manuale,Corso,LODI,113,4068,4,8.0,45.0
Parrucchiere per Donna,Corso,LODI,116,4068,4,10.0,15.0
Parrucchiere per Donna,Corso,LODI,15,4068,4,4.0,31.0
Parrucchiere per Uomo;Parrucchiere per Donna,Corso,LODI,2,4068,5,15.0,45.0
Tipo A - Estetica Manuale,Corso,LODI,22,4068,5,8.0,11.0
Acconciatore,Corso,LODI,24,4068,5,6.0,64.0
Tipo A - Estetica Manuale,Corso,LODI,24,4068,5,8.0,45.0
Acconciatore,Corso,LODI,36,4068,5,1.0,18.0
Tipo A - Estetica Manuale;Parrucchiere per Donna,Corso,LODI,56,4068,4,37.0,21.0
Tipo A - Estetica Manuale,Corso,LODI,56,4068,4,8.0,55.0
Parrucchiere per Uomo,Corso,LODI,59,4068,4,14.0,18.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Corso,LODI,59,4068,4,26.5,82.0
Parrucchiere per Donna,Corso,LODI,62,4068,4,4.0,31.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Corso,LODI,72,4068,4,26.5,37.0
Parrucchiere per Donna,Corso,LODI,74,4068,4,4.0,31.0
Parrucchiere per Uomo,Corso,LODI,90,4068,4,5.0,30.0
Acconciatore,Corso,LODI,93/1,4068,4,6.0,37.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,CARLO BOTTA,4,4069,4,6.0,59.0
Parrucchiere per Uomo,Via,LAZZARO PAPI,22,4071,4,5.0,15.0
Tipo A - Estetica Manuale,Via,LAZZARO PAPI,8,4071,4,8.0,60.0
Tipo A - Estetica Manuale,Via,LAZZARO PAPI,9,4071,4,8.0,69.0
Tipo A - Estetica Manuale,Via,GEROLAMO TIRABOSCHI,1,4072,4,8.0,55.0
Tipo A - Estetica Manuale,Via,GEROLAMO TIRABOSCHI,15,4072,4,8.0,45.0
Parrucchiere per Uomo;Tipo A - Estetica Manuale,Via,GEROLAMO TIRABOSCHI,3,4072,4,10.0,31.0
Parrucchiere per Donna,Via,GEROLAMO TIRABOSCHI,6,4072,4,2.0,31.0
Tipo A - Estetica Manuale,Via,PIER LOMBARDO,3,4073,4,8.0,40.0
Parrucchiere per Donna,Via,LODOVICO MURATORI,11,4076,4,4.0,31.0
Parrucchiere per Donna,Via,LODOVICO MURATORI,26,4076,4,4.0,29.0
Parrucchiere per Donna,Via,LODOVICO MURATORI,42,4076,4,4.0,14.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,LODOVICO MURATORI,52,4076,4,26.5,40.0
Acconciatore,Via,LODOVICO MURATORI,54,4076,4,6.0,31.0
Centro Massaggi,Via,LODOVICO MURATORI,7,4076,4,14.0,13.0
Parrucchiere per Uomo;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,FRANCESCO BURLAMACCHI,11,4077,4,3.0,16.0
Acconciatore,Via,PIETRO COLLETTA,9,4078,4,6.0,30.0
Acconciatore;Tipo A - Estetica Manuale,Via,SANTA SOFIA,1,408,1,3.0,55.0
Acconciatore;Tipo A - Estetica Manuale,Via,SANTA SOFIA,18,408,1,3.0,55.0
Parrucchiere per Donna,Via,SANTA SOFIA,24,408,1,4.0,49.0
Tipo A - Estetica Manuale,Via,SANTA SOFIA,24,408,1,8.0,45.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,GOFFREDO SIGIERI,1,4080,4,26.5,48.5
Tipo A - Estetica Manuale,Via,GOFFREDO SIGIERI,4,4080,4,8.0,45.0
Parrucchiere per Donna,Via,GOFFREDO SIGIERI,6,4080,4,4.0,31.0
Parrucchiere per Donna,Viale,CIRENE,15,4085,4,4.0,28.0
Centro Massaggi,Via,TITO LIVIO,17,4086,4,14.0,42.0
Acconciatore,Via,TITO LIVIO,20,4086,4,6.0,37.0
Acconciatore,Via,TITO LIVIO,22,4086,4,6.0,50.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,TITO LIVIO,24,4086,4,26.5,44.0
Acconciatore,Via,TITO LIVIO,25,4086,4,6.0,37.0
Tipo A - Estetica Manuale,Via,TITO LIVIO,25,4086,4,8.0,40.0
Acconciatore,Via,TITO LIVIO,26,4086,4,6.0,37.0
Parrucchiere per Donna,Via,TITO LIVIO,33,4086,4,4.0,31.0
Parrucchiere per Uomo,Via,TITO LIVIO,37,4086,4,6.0,15.0
Acconciatore,Viale,LAZIO,1,4089,4,6.0,15.0
Parrucchiere per Donna,Viale,LAZIO,6,4089,4,4.0,35.0
Parrucchiere per Donna;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,LATTANZIO,72,4091,4,16.5,39.0
Parrucchiere per Donna,Via,SEBINO,19,4092,4,4.0,22.0
Parrucchiere per Donna,Via,SEBINO,8,4092,4,4.0,31.0
Parrucchiere per Donna,Via,ALBERTO CARONCINI,1,4093,4,4.0,26.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,TERTULLIANO,34,4094,4,26.5,53.0
Parrucchiere per Donna,Via,TERTULLIANO,35,4094,4,4.0,35.0
Centro Massaggi,Via,EMILIO FAA' DI BRUNO,10,4095,4,14.0,95.0
Acconciatore,Via,EMILIO FAA' DI BRUNO,14,4095,4,6.0,37.0
Parrucchiere per Donna,Via,EMILIO FAA' DI BRUNO,2,4095,4,4.0,31.0
Acconciatore,Via,EMILIO FAA' DI BRUNO,5,4095,4,6.0,35.0
Acconciatore,Via,RODOLFO CARABELLI,1,4096,4,16.0,16.0
Parrucchiere per Donna,Via,RODOLFO CARABELLI,11,4096,4,11.0,53.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,RODOLFO CARABELLI,15,4096,4,26.5,48.5
Parrucchiere per Uomo,Via,RODOLFO CARABELLI,2,4096,4,5.0,31.0
Parrucchiere per Donna,Via,VENOSA,6,4097,4,1.0,35.0
Acconciatore,Via,LENTASIO,8,410,1,1.0,33.0
Parrucchiere per Donna,Via,ALFONSO LAMARMORA,22,4103,1,4.0,27.0
Acconciatore,Via,ALFONSO LAMARMORA,36,4103,1,6.0,37.0
Tipo A - Estetica Manuale,Via,ALFONSO LAMARMORA,40A,4103,1,8.0,60.0
Parrucchiere per Donna,Via,OGLIO,3,4105,4,4.0,23.0
Parrucchiere per Uomo,Via,SALO',1,4117,4,5.0,19.0
Parrucchiere per Donna,Via,VALLARSA,1,4142,5,3.0,12.0
Tipo A - Estetica Manuale,Via,BENACO,1,4143,4,8.0,13.0
Parrucchiere per Donna,Via,BENACO,26,4143,5,4.0,17.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,BENACO,32,4143,5,26.5,109.0
Parrucchiere per Donna,Via,DON GIOVANNI BOSCO,16,4144,4,4.0,22.0
Parrucchiere per Donna,Via,DON GIOVANNI BOSCO,19,4144,4,4.0,35.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,DON GIOVANNI BOSCO,27,4144,4,26.5,35.0
Acconciatore,Piazza,SAN LUIGI,5,4145,4,6.0,70.0
Acconciatore,Via,TAGLIAMENTO,19,4147,4,6.0,48.0
Tipo A - Estetica Manuale,Via,TAGLIAMENTO,19,4147,4,8.0,45.0
Parrucchiere per Donna,Via,TAGLIAMENTO,5,4147,4,18.0,14.0
Centro Massaggi,Via,BRENO,2,4149,4,14.0,53.0
Parrucchiere per Uomo;Parrucchiere per Donna,Piazza,GEREMIA BONOMELLI,4,4150,4,6.0,33.0
Parrucchiere per Donna,Viale,BRENTA,39,4151,4,4.0,55.0
Acconciatore,Viale,BRENTA,6,4151,4,6.0,50.0
Tipo A - Estetica Manuale,Viale,BRENTA,7,4151,4,8.0,34.0
Parrucchiere per Donna,Viale,BRENTA,8,4151,4,13.0,24.0
Parrucchiere per Uomo,Via,BESSARIONE,12,4152,4,9.0,17.0
Acconciatore,Via,BESSARIONE,42,4152,4,6.0,52.0
Parrucchiere per Uomo,Via,ARCIVESCOVO ROMILLI,14,4154,5,5.0,28.0
Parrucchiere per Donna,Via,ARCIVESCOVO ROMILLI,24,4154,5,4.0,20.0
Parrucchiere per Donna,Via,ARCIVESCOVO ROMILLI,29,4154,4,4.0,39.0
Acconciatore,Via,ARCIVESCOVO ROMILLI,5,4154,4,6.0,27.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,RIVA DI TRENTO,2,4155,4,5.0,14.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,MINCIO,10,4157,4,26.5,65.0
Parrucchiere per Donna,Via,MINCIO,12,4157,4,4.0,13.0
Parrucchiere per Uomo,Via,MINCIO,3,4157,4,5.0,20.5
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,MINCIO,3,4157,4,26.5,48.5
Parrucchiere per Uomo;Parrucchiere per Donna,Piazzale,FERRARA,4,4158,4,6.0,90.0
Acconciatore,Via,POLESINE,21,4159,4,6.0,52.0
Acconciatore,Via,POLESINE,23,4159,4,6.0,27.0
Acconciatore,Via,POLESINE,25,4159,4,4.0,33.0
Acconciatore,Via,POLESINE,39,4159,4,6.0,37.0
Tipo A - Estetica Manuale;Tipo C - Trattamenti Estetici Dimagrimento,Via,POLESINE,39,4159,4,2.0,41.0
Parrucchiere per Donna,Via,GAMBOLOITA,7,4160,4,4.0,25.0
Tipo A - Estetica Manuale,Via,GAMBOLOITA,7,4160,4,8.0,45.0
Tipo A - Estetica Manuale;Acconciatore,Via,NERVESA,10,4167,4,10.0,25.0
Parrucchiere per Donna,Via,PONTI DELLA PRIULA,2,4170,4,4.0,22.0
Parrucchiere per Donna,Viale,BACCHIGLIONE,2,4171,4,4.0,31.0
Centro Massaggi,Viale,LUCANIA,21,4173,4,14.0,42.0
Parrucchiere per Donna,Viale,LUCANIA,30,4173,4,4.0,26.0
Tipo A - Estetica Manuale,Viale,LUCANIA,6,4173,4,8.0,45.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Viale,LUCANIA,7,4173,4,26.5,50.0
Parrucchiere per Donna,Viale,LUCANIA,8,4173,4,4.0,31.0
Parrucchiere per Donna,Viale,LUCANIA,9,4173,4,4.0,31.0
Parrucchiere per Uomo,Piazzale,LUIGI EMANUELE CORVETTO,3,4174,4,5.0,25.0
Acconciatore,Viale,ENRICO MARTINI,13,4175,4,6.0,35.0
Parrucchiere per Donna,Via,SEBASTIANO SERLIO,11,4176,4,4.0,34.0
Tipo A - Estetica Manuale;Tipo C - Trattamenti Estetici Dimagrimento,Via,GIUSEPPE SACCONI,5,4177,4,2.0,35.5
Acconciatore,Via,BALDASSARE LONGHENA,16,4179,4,6.0,37.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,SULMONA,23,4180,4,6.0,24.0
Parrucchiere per Uomo;Tipo A - Estetica Manuale;Parrucchiere per Donna,Via,CARLO BONCOMPAGNI,10,4182,4,4.0,21.0
Parrucchiere per Donna,Via,CARLO BONCOMPAGNI,36,4182,4,4.0,29.0
Parrucchiere per Donna,Via,FRANCESCO MARTINENGO,2,4183,4,4.0,31.0
Parrucchiere per Uomo,Via,CARLO MAROCHETTI,19,4185,4,5.0,33.0
Parrucchiere per Donna,Via,CARLO MAROCHETTI,21,4185,4,4.0,21.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,CARLO MAROCHETTI,9,4185,4,5.0,30.0
Acconciatore,Via,EUGENIO BRIZI,1,4186,4,6.0,14.0
Parrucchiere per Donna,Via,DOMENICO VENEZIANO,5,4190,4,4.0,15.0
Parrucchiere per Donna,Via,VAL MESOLCINA,2,4194,4,9.0,26.0
Acconciatore;Tipo A - Estetica Manuale,Via,CESARE BALBO,36,4208,5,3.0,55.0
Tipo A - Estetica Manuale,Viale,ISONZO,14,4211,5,8.0,54.0
Centro Massaggi,Via,ANDREA PALLADIO,3A,4213,5,14.0,30.0
Parrucchiere per Donna,Via,ANDREA PALLADIO,3A,4213,5,2.0,30.0
Centro Benessere,Via,ADIGE,10,4216,5,2.0,27.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,ADIGE,10,4216,5,6.0,26.0
Parrucchiere per Donna,Via,ADIGE,4,4216,5,4.0,31.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,ADIGE,7,4216,5,26.5,48.5
Centro Massaggi;Centro Benessere,Via,MANTOVA,13,4217,5,6.0,75.0
Acconciatore,Via,MANTOVA,15,4217,5,6.0,45.0
Parrucchiere per Uomo,Via,MANTOVA,2,4217,5,5.0,22.0
Acconciatore,Via,MANTOVA,3,4217,5,6.0,30.0
Parrucchiere per Donna,Piazza,BRUNO BUOZZI,5,4221,4,12.0,21.0
Parrucchiere per Donna,Via,BERNARDINO VERRO,45,4223,5,6.0,18.0
Parrucchiere per Uomo,Via,BERNARDINO VERRO,49,4223,5,5.0,20.5
Parrucchiere per Donna,Via,BERNARDINO VERRO,62,4223,5,4.0,68.0
Tipo A - Estetica Manuale;Tipo C - Trattamenti Estetici Dimagrimento;Tipo B - Centro di Abbronzatura,Via,BERNARDINO VERRO,7,4223,5,2.5,81.0
Parrucchiere per Uomo;Parrucchiere per Donna;Parrucchiere per Uomo,Via,DEI FONTANILI,55,4224,5,3.0,33.0
Parrucchiere per Donna,Via,TIRSO,4,4230,5,4.0,31.0
Parrucchiere per Uomo,Via,BERNARDINO BIONDELLI,1,4236,5,5.0,70.0
Parrucchiere per Uomo,Via,GIACOMO ANTONINI,62,4250,5,8.0,22.0
Parrucchiere per Donna,Piazza,ENRICO CHIARADIA,12,4252,5,4.0,31.0
Parrucchiere per Donna,Piazza,ENRICO CHIARADIA,9,4252,5,4.0,53.0
Acconciatore,Via,PAOLO SOLAROLI,10,4254,5,6.0,37.0
Acconciatore;Tipo A - Estetica Manuale,Via,GALLURA,1,4256,5,3.0,55.0
Parrucchiere per Uomo,Via,GALLURA,1,4256,5,6.0,30.0
Parrucchiere per Uomo,Via,GALLURA,15,4256,5,5.0,16.0
Tipo A - Estetica Manuale,Via,BERNARDO QUARANTA,45,4271,5,8.0,45.0
Acconciatore,Via,DELL'ASSUNTA,3,4274,5,6.0,95.0
Centro Massaggi,Via,MARCO D'AGRATE,14,4276,5,14.0,86.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,MARCO D'AGRATE,15,4276,5,6.0,30.5
Acconciatore,Via,MARCO D'AGRATE,25,4276,5,6.0,28.0
Parrucchiere per Donna;Tipo A - Estetica Manuale,Via,MARCO D'AGRATE,6,4276,5,11.0,50.0
Acconciatore,Piazza,ANGILBERTO SECONDO,9,4278,5,6.0,35.0
Parrucchiere per Uomo,Via,RAVENNA,14,4281,4,5.0,32.0
Parrucchiere per Donna,Via,DEI CINQUECENTO,19,4283,4,4.0,13.0
Tipo A - Estetica Manuale,Via,DEI CINQUECENTO,27,4283,4,13.0,21.0
Parrucchiere per Donna,Via,DEI CINQUECENTO,27,4283,4,4.0,22.0
Parrucchiere per Donna,Via,DEI CINQUECENTO,3,4283,4,4.0,34.0
Parrucchiere per Donna,Via,DEI PANIGAROLA,2,4284,4,4.0,26.0
Parrucchiere per Donna,Via,NICOLO' BARABINO,7,4287,4,4.0,25.0
Parrucchiere per Donna,Via,VAL DI SOLE,10,4295,5,4.0,35.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,VAL DI SOLE,22,4295,5,6.0,85.0
Acconciatore,Via,FEDERICO CHOPIN,50,4297,5,6.0,37.0
