t_es,t_via,via,civ,cod_via,zd,sup_alt,sup_lav
Acconciatore,Via,GARIGLIANO,12,1134,9,6.0,15.0
Tipo A - Estetica Manuale,Via,GARIGLIANO,4,1134,9,8.0,45.0
Acconciatore,Via,GARIGLIANO,5,1134,9,6.0,38.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,GARIGLIANO,5,1134,9,26.5,45.0
Parrucchiere per Donna,Via,VOLTURNO,41,1135,9,4.0,14.0
Parrucchiere per Donna,Via,ANGELO DELLA PERGOLA,7,1137,9,4.0,28.0
Parrucchiere per Donna,Via,COLA MONTANO,40,1139,9,4.0,29.0
Centro Massaggi,Via,LUIGI PORRO LAMBERTENGHI,15,1142,9,14.0,50.0
Tipo A - Estetica Manuale,Via,LUIGI PORRO LAMBERTENGHI,25,1142,9,8.0,45.0
Parrucchiere per Uomo,Via,UGO BASSI,30,1143,9,5.0,20.0
Centro Massaggi,Piazza,FIDIA,3,1144,9,2.0,28.0
Esecuzione di Tatuaggi e Piercing,Via,ANTONIO POLLAIUOLO,2,1146,9,25.0,29.0
Parrucchiere per Uomo,Via,LEPONTINA,11,1147,9,10.0,16.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,LEPONTINA,12,1147,9,6.0,30.5
Tipo A - Estetica Manuale,Via,LEPONTINA,13,1147,9,8.0,23.0
Centro Massaggi,Via,LEPONTINA,2,1147,9,14.0,42.0
Parrucchiere per Donna,Via,ALSERIO,1,1153,9,4.0,31.0
Parrucchiere per Donna,Via,ALSERIO,3,1153,9,4.0,19.0
Parrucchiere per Donna,Via,TRAU',2,1154,9,14.0,73.0
Acconciatore,Piazzale,LAGOSTA,1,1155,9,6.0,45.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Piazzale,LAGOSTA,1,1155,9,26.5,48.5
Parrucchiere per Donna,Piazzale,LAGOSTA,10,1155,9,4.0,49.0
Centro Massaggi,Piazzale,LAGOSTA,2,1155,9,11.0,33.0
Parrucchiere per Donna,Via,POLA,15,1156,9,4.0,33.0
Parrucchiere per Uomo,Via,FRANCESCO ALGAROTTI,4,1161,9,5.0,77.0
Acconciatore,Via,DINA GALLI,8,1162,9,6.0,30.0
Parrucchiere per Uomo,Via,TORQUATO TARAMELLI,68,1164,2,5.0,25.0
Acconciatore,Via,TORQUATO TARAMELLI,70,1164,2,6.0,21.0
