"CODICE_VIA";"NUMEROCOMPLETO";"MUNICIPIO";"STATOCIVICO";"GAUSSB_X";"GAUSSB_Y";"WGS84_X";"WGS84_Y";"WEBMERCATOR_X";"WEBMERCATOR_Y";"LAT_WGS84";"LONG_WGS84";"DATA_MODFINE";"IDMASTER";"LIVELLO"
1359;"";"2";8;1515525,0621;5037987,6998;515497,0413;5037967,6213;1023954,5522;5699799,3411;45,495067;9,19834;0;182667;0
1360;"";"9";8;1515221,9139;5038043,3147;515193,8985;5038023,234;1023522,8492;5699879,8958;45,495575;9,194462;0;182668;0
1361;"";"9";8;1514537,2051;5038290,1954;514509,2016;5038270,1071;1022548,1491;5700235,1128;45,497811;9,185706;0;182669;0
1362;"";"2";8;1515442,3119;5037893,4678;515414,293;5037873,3908;1023836,3291;5699664,9363;45,494221;9,197278;0;182670;0
1363;"";"2";8;1515581,8168;5037704,9406;515553,796;5037684,8677;1024034,4139;5699394,9697;45,492521;9,199058;0;182671;0
1364;"";"2";8;1515221,2229;5037661,4044;515193,2092;5037641,3309;1023520,5502;5699334,0015;45,492137;9,194442;0;182672;0
1365;"";"9";8;1515144,2921;5037991,0542;515116,2784;5037970,9741;1023412,0817;5699805,4609;45,495106;9,193467;0;182673;0
1366;"";"9";8;1515065,9812;5037973,3115;515037,969;5037953,2314;1023300,4518;5699780,3677;45,494948;9,192464;0;182674;0
1367;"";"2";8;1515267,2675;5037902,6961;515239,2518;5037882,6183;1023586,9794;5699678,7371;45,494308;9,195038;0;182675;0
1368;"";"2";8;1515708,9725;5037685,4672;515680,9494;5037665,3953;1024215,4949;5699366,6841;45,492343;9,200684;0;182676;0
1369;"";"2";8;1515747,7498;5037641,2039;515719,7261;5037621,133;1024270,5804;5699303,2784;45,491944;9,201179;0;182677;0
1370;"";"2";8;1515858,6406;5037652,2865;515830,6148;5037632,2158;1024428,5972;5699318,7215;45,492041;9,202599;0;182678;0
1371;"";"2";8;1515572,439;5038421,6284;515544,4154;5038401,5419;1024023,5784;5700419,4591;45,498972;9,19896;0;182679;0
1372;"";"2";8;1515555,3336;5038374,329;515527,3106;5038354,2434;1023999,0403;5700351,9047;45,498547;9,19874;0;182680;0
1373;"";"2";8;1515656,6771;5038377,3303;515628,6521;5038357,2451;1024143,4435;5700355,8361;45,498571;9,200037;0;182681;0
1374;"";"2";8;1515579,8608;5038104,0067;515551,8384;5038083,9264;1024033,0335;5699965,4001;45,496113;9,199045;0;182682;0
1375;"";"2";8;1515638,241;5038034,0803;515610,2178;5038014,0015;1024115,9618;5699865,2382;45,495482;9,19979;0;182683;0
1376;"";"2";8;1515586,6072;5038005,8427;515558,5851;5037985,7642;1024042,2992;5699825,0576;45,495229;9,199128;0;182684;0
1377;"";"2";8;1515663,3521;5037841,5995;515635,3292;5037821,5244;1024151,0558;5699590,0163;45,493749;9,200105;0;182685;0
1378;"";"2";8;1515646,1689;5038096,3529;515618,1453;5038076,2729;1024127,4771;5699954,2244;45,496043;9,199894;0;182686;0
1379;"";"2";8;1515716,8623;5038106,8258;515688,8373;5038086,7459;1024228,2327;5699968,9432;45,496135;9,200799;0;182687;0
1380;"";"2";8;1515601,322;5038497,449;515573,2975;5038477,3612;1024064,9983;5700527,7441;45,499654;9,199332;0;182688;0
1381;"";"2";8;1515604,328;5038712,7974;515576,3026;5038692,7056;1024070,0416;5700835,5857;45,501592;9,199378;0;182689;0
1382;"";"2";8;1515773,4165;5038804,5353;515745,3875;5038784,4425;1024311,2966;5700966,131;45,502414;9,201545;0;182690;0
1383;"";"2";8;1515726,5645;5038744,8609;515698,5367;5038724,769;1024244,3258;5700880,9884;45,501878;9,200943;0;182691;0
1384;"";"2";8;1515730,7931;5038683,2977;515702,7654;5038663,2069;1024250,1318;5700792,9638;45,501324;9,200995;0;182692;0
1385;"";"2";8;1515773,7444;5038721,634;515745,7158;5038701,5427;1024311,468;5700847,6149;45,501668;9,201546;0;182693;0
1386;"";"2";8;1515674,9287;5038642,4588;515646,9023;5038622,3686;1024170,3884;5700734,781;45,500957;9,200279;0;182694;0
1387;"";"2";8;1515821,5196;5038691,5897;515793,4902;5038671,4993;1024379,4336;5700804,493;45,501396;9,202157;0;182695;0
1388;"";"2";8;1515753,3904;5038464,7944;515725,3632;5038444,7079;1024281,5509;5700480,5224;45,499356;9,201278;0;182696;0
1389;"";"2";8;1515890,5716;5038380,5348;515862,5422;5038360,4504;1024476,7044;5700359,5795;45,498595;9,203031;0;182697;0
1390;"";"2";8;1515824,6036;5038363,3635;515796,5755;5038343,2792;1024382,6527;5700335,2706;45,498442;9,202186;0;182698;0
1391;"";"2";8;1515790,9735;5038359,5946;515762,9461;5038339,5103;1024334,7237;5700330,0037;45,498409;9,201755;0;182699;0
1392;"";"2";8;1515825,6939;5038307,1894;515797,666;5038287,1062;1024384,0049;5700254,9663;45,497936;9,202198;0;182700;0
1393;"";"2";8;1515871,6435;5038316,9825;515843,6147;5038296,8993;1024449,5077;5700268,8;45,498023;9,202787;0;182701;0
1394;"";"2";8;1515747,2172;5038289,7425;515719,1908;5038269,6593;1024272,1316;5700230,3074;45,497781;9,201193;0;182702;0
1395;"";"2";8;1515944,8434;5037930,1002;515916,8148;5037910,0246;1024552,4053;5699715,5089;45,494539;9,203711;0;182703;0
1396;"";"2";8;1515913,6752;5037787,844;515885,6479;5037767,771;1024507,4885;5699512,2827;45,49326;9,203307;0;182704;0
1397;"";"2";8;1516190,4324;5038041,3027;516162,3987;5038021,226;1024902,699;5699873,5676;45,495535;9,206858;0;182705;0
1398;"";"2";8;1515993,6786;5038205,5837;515965,6479;5038185,5031;1024622,9766;5700109,1168;45,497018;9,204345;0;182706;0
1399;"";"2";8;1516149,4289;5038286,1952;516121,395;5038266,1137;1024845,1757;5700223,7805;45,49774;9,206341;0;182707;0
1400;"";"2";8;1516011,849;5038258,4302;515983,8178;5038238,3487;1024649,0563;5700184,5933;45,497493;9,204579;0;182708;0
1401;"";"9";8;1514616,084;5038684,2672;514588,0774;5038664,1718;1022661,8359;5700798,189;45,501357;9,186728;0;182709;0
1402;"";"9";8;1514898,4689;5038029,5583;514870,4597;5038009,4765;1023061,9875;5699861,3374;45,495458;9,190322;0;182710;0
1403;"";"2";8;1515714,6115;5038722,7225;515686,584;5038702,631;1024227,2156;5700849,3824;45,501679;9,20079;0;182711;0
1404;"";"9";8;1513883,4165;5040203,7436;513855,4173;5040183,6164;1021622,6621;5702973,0248;45,515048;9,177393;0;182712;0
1405;"";"2";8;1515868,3239;5038197,856;515840,2956;5038177,775;1024444,3503;5700098,5236;45,496951;9,20274;0;182713;0
1406;"";"2";8;1515872,6063;5037946,8738;515844,579;5037926,7976;1024449,5505;5699739,7459;45,494692;9,202787;0;182714;0
1407;"";"2";8;1516003,3369;5037998,7938;515975,3069;5037978,7172;1024635,9886;5699813,4881;45,495156;9,204462;0;182715;0
1408;"";"2";8;1516412,6066;5038810,6744;516384,5655;5038790,5841;1025222,0894;5700972,5719;45,502455;9,209727;0;182716;0
1409;"";"2";8;1516236,0628;5038636,8648;516208,0258;5038616,7771;1024969,8968;5700724,7516;45,500894;9,207461;0;182717;0
1410;"";"2";8;1516252,0352;5038368,9165;516223,999;5038348,8339;1024991,6696;5700341,6525;45,498482;9,207657;0;182718;0
1411;"";"9";8;1515541,1292;5039160,7523;515513,1031;5039140,6518;1023981,5674;5701476,2186;45,505625;9,198583;0;182719;0
1412;"";"2";8;1516582,4456;5038516,5;516554,4026;5038496,416;1025462,9861;5700551,3941;45,499803;9,211891;0;185919;0
1413;"";"2";8;1516551,0072;5038312,1197;516522,9656;5038292,0394;1025417,4268;5700259,3487;45,497964;9,211481;0;185059;0
1414;"";"2";8;1516899,7446;5038486,341;516871,6957;5038466,2589;1025914,963;5700507,0749;45,499524;9,215951;0;182720;0
1415;"";"2";8;1516705,3478;5038490,2979;516677,3025;5038470,2149;1025637,9999;5700513,473;45,499564;9,213463;0;182721;0
1416;"";"2";8;1516797,221;5038915,2022;516769,1722;5038895,1115;1025770,5169;5701120,5558;45,503386;9,214653;0;182722;0
1417;"";"2";8;1516578,294;5038779,2397;516550,2499;5038759,1507;1025458,0565;5700927,0124;45,502168;9,211846;0;182723;0
1418;"";"2";8;1516550,1531;5038921,9944;516522,109;5038901,9025;1025418,494;5701131,2015;45,503453;9,211491;0;182724;0
1419;"";"2";8;1516488,4448;5038882,689;516460,402;5038862,5976;1025330,4187;5701075,2412;45,503101;9,2107;0;182725;0
1420;"";"9";8;1516264,0212;5039243,6741;516235,9811;5039223,5751;1025011,9666;5701592,1606;45,506355;9,207839;0;185920;0
1421;"";"2";8;1516207,2339;5038777,6254;516179,1968;5038757,5349;1024929,3363;5700926,0858;45,502162;9,207097;0;185921;0
1422;"";"2";8;1516316,0985;5038770,0873;516288,0594;5038749,9974;1025084,4269;5700914,9074;45,502091;9,20849;0;182726;0
1423;"";"2";8;1516349,4793;5038934,868;516321,4389;5038914,7751;1025132,6;5701150,3556;45,503574;9,208923;0;182727;0
1424;"";"9";8;1516283,4621;5039221,8996;516255,4218;5039201,801;1025039,5893;5701560,9578;45,506159;9,208087;0;182728;0
1425;"";"9";8;1516159,0956;5039188,0367;516131,0578;5039167,9382;1024862,2462;5701513,0025;45,505857;9,206494;0;182729;0
